name,_id,run_start_time,run_end_time,status,status_message,btap_standard_envelope.ext_roof_cond,btap_standard_envelope.ext_wall_cond,btap_standard_envelope.fixed_window_cond,btap_standard_systems.daylighting_type,btap_standard_systems.dcv_type,btap_standard_systems.ecm_system_type,btap_standard_systems.lights_type,btap_results.baseline_capital_cost_difference_per_m_2,btap_results.baseline_cost_utility_neb_difference_per_m_2_per_year,btap_results.baseline_energy_percent_change,btap_results.baseline_payback_yrs,btap_results.bldg_conditioned_floor_area_m_sq,btap_results.bldg_exterior_area_m_sq,btap_results.bldg_fdwr,btap_results.bldg_name,btap_results.bldg_nominal_floor_to_ceiling_height,btap_results.bldg_nominal_floor_to_floor_height,btap_results.bldg_srr,btap_results.bldg_standards_building_type,btap_results.bldg_standards_number_of_above_ground_stories,btap_results.bldg_standards_number_of_stories,btap_results.bldg_standards_template,btap_results.bldg_surface_to_volume_ratio,btap_results.bldg_volume_m_cu,btap_results.cost_equipment_envelope_total_cost_per_m_sq,btap_results.cost_equipment_heating_and_cooling_total_cost_per_m_sq,btap_results.cost_equipment_lighting_total_cost_per_m_sq,btap_results.cost_equipment_shw_total_cost_per_m_sq,btap_results.cost_equipment_total_cost_per_m_sq,btap_results.cost_equipment_ventilation_total_cost_per_m_sq,btap_results.cost_rs_means_city,btap_results.cost_rs_means_prov,btap_results.cost_utility_ghg_electricity_kg_per_m_sq,btap_results.cost_utility_ghg_natural_gas_kg_per_m_sq,btap_results.cost_utility_ghg_oil_kg_per_m_sq,btap_results.cost_utility_ghg_total_kg_per_m_sq,btap_results.cost_utility_neb_electricity_cost_per_m_sq,btap_results.cost_utility_neb_natural_gas_cost_per_m_sq,btap_results.cost_utility_neb_oil_cost_per_m_sq,btap_results.cost_utility_neb_total_cost_per_m_sq,btap_results.energy_eui_additional_fuel_gj_per_m_sq,btap_results.energy_eui_cooling_gj_per_m_sq,btap_results.energy_eui_district_cooling_gj_per_m_sq,btap_results.energy_eui_district_heating_gj_per_m_sq,btap_results.energy_eui_electricity_gj_per_m_sq,btap_results.energy_eui_fans_gj_per_m_sq,btap_results.energy_eui_heating_gj_per_m_sq,btap_results.energy_eui_interior_equipment_gj_per_m_sq,btap_results.energy_eui_interior_lighting_gj_per_m_sq,btap_results.energy_eui_natural_gas_gj_per_m_sq,btap_results.energy_eui_total_gj_per_m_sq,btap_results.energy_eui_water_systems_gj_per_m_sq,btap_results.energy_peak_electric_w_per_m_sq,btap_results.energy_peak_natural_gas_w_per_m_sq,btap_results.energy_principal_heating_source,btap_results.envelope_ground_floors_average_conductance_w_per_m_sq_k,btap_results.envelope_ground_roofs_average_conductance_w_per_m_sq_k,btap_results.envelope_ground_walls_average_conductance_w_per_m_sq_k,btap_results.envelope_outdoor_doors_average_conductance_w_per_m_sq_k,btap_results.envelope_outdoor_floors_average_conductance_w_per_m_sq_k,btap_results.envelope_outdoor_overhead_doors_average_conductance_w_per_m_sq_k,btap_results.envelope_outdoor_roofs_average_conductance_w_per_m_sq_k,btap_results.envelope_outdoor_walls_average_conductance_w_per_m_sq_k,btap_results.envelope_outdoor_windows_average_conductance_w_per_m_sq_k,btap_results.envelope_skylights_average_conductance_w_per_m_sq_k,btap_results.location_cdd,btap_results.location_city,btap_results.location_country,btap_results.location_hdd,btap_results.location_latitude,btap_results.location_longitude,btap_results.location_state_province_region,btap_results.location_weather_file,btap_results.location_zone,btap_results.mm_env_fdwr,btap_results.mm_env_ground_floors_average_conductance_w_per_m_sq_k,btap_results.mm_env_ground_roofs_average_conductance_w_per_m_sq_k,btap_results.mm_env_ground_walls_average_conductance_w_per_m_sq_k,btap_results.mm_env_outdoor_doors_average_conductance_w_per_m_sq_k,btap_results.mm_env_outdoor_floors_average_conductance_w_per_m_sq_k,btap_results.mm_env_outdoor_overhead_doors_average_conductance_w_per_m_sq_k,btap_results.mm_env_outdoor_roofs_average_conductance_w_per_m_sq_k,btap_results.mm_env_outdoor_walls_average_conductance_w_per_m_sq_k,btap_results.mm_env_outdoor_windows_average_conductance_w_per_m_sq_k,btap_results.mm_env_rotation,btap_results.mm_env_skylights_average_conductance_w_per_m_sq_k,btap_results.mm_env_srr,btap_results.mm_env_x_scale,btap_results.mm_env_y_scale,btap_results.mm_env_z_scale,btap_results.shw_additional_fuel_per_year,btap_results.shw_electricity_per_day,btap_results.shw_electricity_per_day_per_occupant,btap_results.shw_electricity_per_year,btap_results.shw_natural_gas_per_year,btap_results.shw_total_nominal_occupancy,btap_results.shw_water_m_cu_per_day,btap_results.shw_water_m_cu_per_day_per_occupant,btap_results.shw_water_m_cu_per_year,btap_results.simulation_btap_data_version,btap_results.simulation_date,btap_results.simulation_os_standards_revision,btap_results.simulation_os_standards_version,openstudio_results.electricity_ip,openstudio_results.eui,openstudio_results.natural_gas_ip
API Generated 2020-11-17 15:52:53 +0000,070c104e-2100-47e3-ace7-0a73bcd17b68,2020-11-17T15:55:45.937Z,2020-11-17T15:59:07.723Z,completed,completed normal,0.138,0.183,2.2,NECB_Default,CO2_based_DCV,HS08_VRFZonal,NECB_Default,"","","","",511.15,845.223329175342,17.1,FullServiceRestaurant,"","",0.0,FullServiceRestaurant,1.0,1.0,NECB2011,0.35452412112523995,2384.1066906608494,233.50370732661645,0.0,66.36711337180867,25.04394013498973,324.91476083341485,0.0,CALGARY,ALBERTA,105.17133514546644,10.480334438269894,0.0,115.65166958373634,9.383384133815905,0.6126812090384428,0.0,9.996065342854347,0.0,0.07465518927907659,0.0,0.0,0.47921353810036194,0.10014672796635038,0.0447618116012912,0.06716228113078353,0.1924875281228602,0.20768854543676024,0.6869020835371222,0.20768854543676024,136.8476572434706,16.25501320551697,Electricity,,,,,,,,,,,,Calgary Intl AP,CAN,,51.114,-114.02,AB,CAN_AB_Calgary.Intl.AP.718770_CWEC2016.epw,,17.1,0.757,"","","","","",0.138,0.183,2.2,0.0,"",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,106.16,44.152477477477476,1.0393160054719561,0.02353924547047489,379.87,0.1,2020-11-17 15:58:58 +0000,92d95f99,0.2.11,68043.91749329722,60.485226051740604,100.61628466055643
API Generated 2020-11-17 15:52:53 +0000,0cf6b0a3-ca10-45f5-9db7-2b44485aac45,2020-11-17T15:57:02.404Z,2020-11-17T16:00:03.425Z,completed,completed normal,0.183,0.21,1.6,add_daylighting_controls,No_DCV,NECB_Default,NECB_Default,"","","","",511.15,845.223329175342,17.1,FullServiceRestaurant,"","",0.0,FullServiceRestaurant,1.0,1.0,NECB2011,0.35452412112523995,2384.1066906608494,228.03971436955885,65.93438325344812,66.36711337180867,25.04394013498973,581.7538100361929,196.36865890638757,CALGARY,ALBERTA,84.41270494346081,56.77209801635144,0.0,141.18480295981226,7.531299618507288,3.3189014966252572,0.0,10.850201115132545,0.0,0.01778342952166683,0.0,0.0,0.38464247285532627,0.10695490560500832,0.9174410642668492,0.06716228113078353,0.1924875281228602,1.1250513547882226,1.5096938276435488,0.2076102905213734,31.90486158661841,184.62077668003522,Natural Gas,,,,,,,,,,,,Calgary Intl AP,CAN,,51.114,-114.02,AB,CAN_AB_Calgary.Intl.AP.718770_CWEC2016.epw,,17.1,0.757,"","","","","",0.183,0.21,1.6,0.0,"",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,106.12,44.152477477477476,1.0393160054719561,0.02353924547047489,379.87,0.1,2020-11-17 15:59:55 +0000,92d95f99,0.2.11,54613.06311970555,132.9362286451744,545.0618927632484
API Generated 2020-11-17 15:52:52 +0000,13fd71ba-62f6-4733-9d1b-c9da960560e0,2020-11-17T15:55:39.079Z,2020-11-17T15:58:45.442Z,completed,completed normal,0.121,0.314,1.6,NECB_Default,CO2_based_DCV,HS09_CCASHPSys,NECB_Default,"","","","",511.15,845.223329175342,17.1,FullServiceRestaurant,"","",0.0,FullServiceRestaurant,1.0,1.0,NECB2011,0.35452412112523995,2384.1066906608494,232.5696370928299,10.218448596302455,66.36711337180867,25.04394013498973,334.1991391959308,0.0,CALGARY,ALBERTA,96.51153015737019,10.475398335011478,0.0,106.98692849238167,8.610756529394502,0.6123926440379537,0.0,9.223149173432455,0.0,0.05720434314780397,0.0,0.0,0.4397730607453781,0.10668101340115427,0.016237894942776096,0.06716228113078353,0.1924875281228602,0.20759072679252666,0.6473637875379048,0.20759072679252666,134.90224004695295,16.266321040790377,Electricity,,,,,,,,,,,,Calgary Intl AP,CAN,,51.114,-114.02,AB,CAN_AB_Calgary.Intl.AP.718770_CWEC2016.epw,,17.1,0.757,"","","","","",0.121,0.314,1.6,0.0,"",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,106.11,44.152477477477476,1.0393160054719561,0.02353924547047489,379.87,0.1,2020-11-17 15:58:36 +0000,92d95f99,0.2.11,62441.90061993056,57.00540045222718,100.57712085714509
API Generated 2020-11-17 15:52:53 +0000,1d38735a-de49-4d6f-9f0c-c35f5248ca09,2020-11-17T15:56:35.106Z,2020-11-17T15:57:21.961Z,completed,completed normal,-1.0,0.314,1.6,add_daylighting_controls,Occupancy_based_DCV,NECB_Default,LED,"","","","",511.15,845.223329175342,17.1,FullServiceRestaurant,"","",0.0,FullServiceRestaurant,1.0,1.0,NECB2011,0.35452412112523995,2384.1066906608494,231.20475398610975,66.14929081482931,66.36711337180867,25.04394013498973,585.1495647070332,196.38446639929572,CALGARY,ALBERTA,84.48139947980664,39.334819645669334,0.0,123.81621912547598,7.537428543480387,2.2995167758974864,0.0,9.836945319377874,0.0,0.018057321725520888,0.0,0.0,0.384935928788027,0.10701359679154848,0.571886921647266,0.06716228113078353,0.1924875281228602,0.7794972121686393,1.1644331409566664,0.2076102905213734,31.700772767289447,162.21248165900423,Natural Gas,,,,,,,,,,,,Calgary Intl AP,CAN,,51.114,-114.02,AB,CAN_AB_Calgary.Intl.AP.718770_CWEC2016.epw,,17.1,0.757,"","","","","",0.162,0.314,1.6,0.0,"",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,106.12,44.152477477477476,1.0393160054719561,0.02353924547047489,379.87,0.1,2020-11-17 15:57:12 +0000,92d95f99,0.2.11,54657.938889091674,102.53598985576178,377.65177550605716
API Generated 2020-11-17 15:52:53 +0000,1e41bc56-61f3-455c-b652-976a63d66a59,2020-11-17T15:57:02.771Z,2020-11-17T16:00:04.920Z,completed,completed normal,0.162,-1.0,1.6,add_daylighting_controls,NECB_Default,HS08_VRFZonal,LED,"","","","",511.15,845.223329175342,17.1,FullServiceRestaurant,"","",0.0,FullServiceRestaurant,1.0,1.0,NECB2011,0.35452412112523995,2384.1066906608494,231.8814829306466,0.0,66.36711337180867,25.04394013498973,323.292536437445,0.0,CALGARY,ALBERTA,173.44082404765712,10.480334438269894,0.0,183.921158485927,15.474386383644724,0.6126812090384428,0.0,16.087067592683166,0.0,0.022713489191039812,0.0,0.0,0.7902963904920278,0.10000978186442336,0.4079233101829209,0.06716228113078353,0.1924875281228602,0.20768854543676024,0.997984935928788,0.20768854543676024,144.25127653330725,16.254621930940036,Electricity,,,,,,,,,,,,Calgary Intl AP,CAN,,51.114,-114.02,AB,CAN_AB_Calgary.Intl.AP.718770_CWEC2016.epw,,17.1,0.757,"","","","","",0.162,0.21,1.6,0.0,"",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,106.16,44.152477477477476,1.0393160054719561,0.02353924547047489,379.87,0.1,2020-11-17 15:59:56 +0000,92d95f99,0.2.11,112212.99267746943,87.87765518929656,100.61790542783218
API Generated 2020-11-17 15:52:52 +0000,239884ed-eff2-4e1e-8e37-863f4fde2138,2020-11-17T15:54:30.226Z,2020-11-17T15:57:26.936Z,completed,completed normal,0.142,0.278,2.2,add_daylighting_controls,CO2_based_DCV,HS08_VRFZonal,LED,"","","","",511.15,845.223329175342,17.1,FullServiceRestaurant,"","",0.0,FullServiceRestaurant,1.0,1.0,NECB2011,0.35452412112523995,2384.1066906608494,231.15709674263914,0.0,66.36711337180867,25.04394013498973,322.56815024943756,0.0,CALGARY,ALBERTA,106.62680063429373,10.480334438269894,0.0,117.10713507256362,9.513240731683458,0.6126812090384428,0.0,10.125921940721902,0.0,0.0742247872444488,0.0,0.0,0.48586520590824606,0.10049887508559131,0.05149173432456226,0.06716228113078353,0.1924875281228602,0.20768854543676024,0.6935537513450063,0.20768854543676024,138.63955785972806,16.25466105839773,Electricity,,,,,,,,,,,,Calgary Intl AP,CAN,,51.114,-114.02,AB,CAN_AB_Calgary.Intl.AP.718770_CWEC2016.epw,,17.1,0.757,"","","","","",0.142,0.278,2.2,0.0,"",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,106.16,44.152477477477476,1.0393160054719561,0.02353924547047489,379.87,0.1,2020-11-17 15:57:17 +0000,92d95f99,0.2.11,68986.09208143888,61.07093927146069,100.62057827211146
API Generated 2020-11-17 15:52:53 +0000,252b9b86-e420-431c-975e-90c651aafe97,2020-11-17T15:57:02.958Z,2020-11-17T16:00:03.976Z,completed,completed normal,0.142,0.278,2.2,add_daylighting_controls,No_DCV,HS09_CCASHPSys,LED,"","","","",511.15,845.223329175342,17.1,FullServiceRestaurant,"","",0.0,FullServiceRestaurant,1.0,1.0,NECB2011,0.35452412112523995,2384.1066906608494,231.15709674263914,10.553007923310183,66.36711337180867,25.04394013498973,333.1211777364766,0.0,CALGARY,ALBERTA,166.41680770629594,10.477372776314844,0.0,176.89418048261078,14.847703805145262,0.6125080700381493,0.0,15.460211875183411,0.0,0.019152890540937103,0.0,0.0,0.7583096938276435,0.10664188594346083,0.3728651080896019,0.06716228113078353,0.1924875281228602,0.2076298542502201,0.9659395480778635,0.2076298542502201,140.21747040986014,16.254934950601584,Electricity,,,,,,,,,,,,Calgary Intl AP,CAN,,51.114,-114.02,AB,CAN_AB_Calgary.Intl.AP.718770_CWEC2016.epw,,17.1,0.757,"","","","","",0.142,0.278,2.2,0.0,"",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,106.13,44.152477477477476,1.0393160054719561,0.02353924547047489,379.87,0.1,2020-11-17 15:59:55 +0000,92d95f99,0.2.11,107668.72841855277,85.05589561899805,100.59186889153717
API Generated 2020-11-17 15:52:53 +0000,33be4a1f-1ba9-4bd4-b616-89e5e6f364a4,2020-11-17T15:57:02.800Z,2020-11-17T16:00:10.829Z,completed,completed normal,-1.0,0.183,1.6,NECB_Default,Occupancy_based_DCV,HS09_CCASHPSys,NECB_Default,"","","","",511.15,845.223329175342,17.1,FullServiceRestaurant,"","",0.0,FullServiceRestaurant,1.0,1.0,NECB2011,0.35452412112523995,2384.1066906608494,233.18286217353028,10.218448596302455,66.36711337180867,25.04394013498973,334.8123642766311,0.0,CALGARY,ALBERTA,132.23698246572366,10.476385555663162,0.0,142.71336802138683,11.798180573217255,0.6124503570380515,0.0,12.410630930255307,0.0,0.023848185464149466,0.0,0.0,0.60256284847892,0.10687665068962145,0.21218820307150543,0.06716228113078353,0.1924875281228602,0.2076102905213734,0.8101731390002934,0.2076102905213734,109.98303824708991,16.254700185855427,Electricity,,,,,,,,,,,,Calgary Intl AP,CAN,,51.114,-114.02,AB,CAN_AB_Calgary.Intl.AP.718770_CWEC2016.epw,,17.1,0.757,"","","","","",0.162,0.183,1.6,0.0,"",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,106.12,44.152477477477476,1.0393160054719561,0.02353924547047489,379.87,0.1,2020-11-17 16:00:02 +0000,92d95f99,0.2.11,85555.86398697777,71.339870161906,100.58178411737704
API Generated 2020-11-17 15:52:52 +0000,3c445305-dd78-4d29-bed2-62cf4d3813cc,2020-11-17T15:54:45.995Z,2020-11-17T15:57:44.993Z,completed,completed normal,0.183,0.314,2.2,NECB_Default,Occupancy_based_DCV,HS08_VRFZonal,NECB_Default,"","","","",511.15,845.223329175342,17.1,FullServiceRestaurant,"","",0.0,FullServiceRestaurant,1.0,1.0,NECB2011,0.35452412112523995,2384.1066906608494,225.05685219602856,0.0,66.36711337180867,25.04394013498973,316.467905702827,0.0,CALGARY,ALBERTA,141.84133732857507,10.480334438269894,0.0,152.32167176684496,12.65508089601878,0.6126812090384428,0.0,13.267762105057223,0.0,0.025041572923799278,0.0,0.0,0.6463269099090287,0.10085102220483225,0.2607845055267534,0.06716228113078353,0.1924875281228602,0.20768854543676024,0.854015455345789,0.20768854543676024,124.54837131957352,16.25477844077081,Electricity,,,,,,,,,,,,Calgary Intl AP,CAN,,51.114,-114.02,AB,CAN_AB_Calgary.Intl.AP.718770_CWEC2016.epw,,17.1,0.757,"","","","","",0.183,0.314,2.2,0.0,"",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,106.16,44.152477477477476,1.0393160054719561,0.02353924547047489,379.87,0.1,2020-11-17 15:57:34 +0000,92d95f99,0.2.11,91768.29833941389,75.2004093542375,100.6216587836286
API Generated 2020-11-17 15:52:53 +0000,418e874a-b7ab-4e49-ab48-ac43df1a55d5,2020-11-17T15:57:01.997Z,2020-11-17T16:00:04.825Z,completed,completed normal,0.162,0.21,2.2,NECB_Default,No_DCV,NECB_Default,NECB_Default,"","","","",511.15,845.223329175342,17.1,FullServiceRestaurant,"","",0.0,FullServiceRestaurant,1.0,1.0,NECB2011,0.35452412112523995,2384.1066906608494,229.57533013792428,67.06598845739998,66.36711337180867,25.04394013498973,584.18202093319,196.12964883106721,CALGARY,ALBERTA,84.25814223668267,57.34863487693448,0.0,141.60677711361717,7.517509537317813,3.3526058886823833,0.0,10.870115426000197,0.0,0.017411718673579185,0.0,0.0,0.38393817861684437,0.10662232221461411,0.9288467181844859,0.06716228113078353,0.1924875281228602,1.1364765724347061,1.5204147510515504,0.2076298542502201,31.864188594346082,186.5312334931038,Natural Gas,,,,,,,,,,,,Calgary Intl AP,CAN,,51.114,-114.02,AB,CAN_AB_Calgary.Intl.AP.718770_CWEC2016.epw,,17.1,0.757,"","","","","",0.162,0.21,2.2,0.0,"",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,106.13,44.152477477477476,1.0393160054719561,0.02353924547047489,379.87,0.1,2020-11-17 15:59:56 +0000,92d95f99,0.2.11,54513.50620008056,133.88026054048794,550.5954386750616
API Generated 2020-11-17 15:52:52 +0000,435ea1f1-083c-4aaf-890d-07b99c6f48ca,2020-11-17T15:55:10.563Z,2020-11-17T15:55:53.127Z,completed,completed normal,0.138,0.21,2.4,add_daylighting_controls,NECB_Default,HS09_CCASHPSys,NECB_Default,"","","","",511.15,845.223329175342,17.1,FullServiceRestaurant,"","",0.0,FullServiceRestaurant,1.0,1.0,NECB2011,0.35452412112523995,2384.1066906608494,232.20232808373277,10.542541328377188,66.36711337180867,25.04394013498973,334.15592291890835,0.0,CALGARY,ALBERTA,165.89301186665895,10.477372776314844,0.0,176.3703846429738,14.800970752225373,0.6125080700381493,0.0,15.413478822263523,0.0,0.019172454269783822,0.0,0.0,0.755922918908344,0.10644624865499364,0.3706544067299228,0.06716228113078353,0.1924875281228602,0.2076298542502201,0.963552773158564,0.2076298542502201,139.7550229873814,16.25477844077081,Electricity,,,,,,,,,,,,Calgary Intl AP,CAN,,51.114,-114.02,AB,CAN_AB_Calgary.Intl.AP.718770_CWEC2016.epw,,17.1,0.757,"","","","","",0.138,0.21,2.4,0.0,"",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,106.13,44.152477477477476,1.0393160054719561,0.02353924547047489,379.87,0.1,2020-11-17 15:55:44 +0000,92d95f99,0.2.11,107330.82774778055,84.84572793427495,100.59251340717898
API Generated 2020-11-17 15:52:52 +0000,43741db9-9eb8-40cc-b438-2cdb96a993ef,2020-11-17T15:54:29.961Z,2020-11-17T15:55:10.513Z,completed,completed normal,0.138,0.183,2.2,NECB_Default,No_DCV,HS09_CCASHPSys,NECB_Default,"","","","",511.15,845.223329175342,17.1,FullServiceRestaurant,"","",0.0,FullServiceRestaurant,1.0,1.0,NECB2011,0.35452412112523995,2384.1066906608494,233.50370732661645,9.955453389416022,66.36711337180867,25.04394013498973,334.8702142228309,0.0,CALGARY,ALBERTA,164.93558176633894,10.477372776314844,0.0,175.41295454265378,14.715548860412795,0.6125080700381493,0.0,15.328056930450945,0.0,0.019368091558251005,0.0,0.0,0.7515797711043725,0.10640712119730021,0.36615474909517753,0.06716228113078353,0.1924875281228602,0.2076298542502201,0.9592096253545925,0.2076298542502201,137.57325638266656,16.254758877041965,Electricity,,,,,,,,,,,,Calgary Intl AP,CAN,,51.114,-114.02,AB,CAN_AB_Calgary.Intl.AP.718770_CWEC2016.epw,,17.1,0.757,"","","","","",0.138,0.183,2.2,0.0,"",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,106.13,44.152477477477476,1.0393160054719561,0.02353924547047489,379.87,0.1,2020-11-17 15:55:02 +0000,92d95f99,0.2.11,106712.32263266112,84.46156896957619,100.59171724079792
API Generated 2020-11-17 15:52:53 +0000,45c748c0-7356-49eb-98b5-4b681e197fbc,2020-11-17T15:57:02.169Z,2020-11-17T16:00:04.398Z,completed,completed normal,0.227,-1.0,2.4,NECB_Default,Occupancy_based_DCV,HS09_CCASHPSys,LED,"","","","",511.15,845.223329175342,17.1,FullServiceRestaurant,"","",0.0,FullServiceRestaurant,1.0,1.0,NECB2011,0.35452412112523995,2384.1066906608494,227.02887606377777,11.514839088330238,66.36711337180867,25.04394013498973,329.9547686589064,0.0,CALGARY,ALBERTA,136.6033789322055,10.475398335011478,0.0,147.07877726721696,12.187750366819916,0.6123926440379537,0.0,12.80014301085787,0.0,0.022811307835273405,0.0,0.0,0.6224787244448792,0.10742443509732955,0.23259317225863252,0.06716228113078353,0.1924875281228602,0.20759072679252666,0.8300694512374058,0.20759072679252666,114.33855032769246,16.254895823143894,Electricity,,,,,,,,,,,,Calgary Intl AP,CAN,,51.114,-114.02,AB,CAN_AB_Calgary.Intl.AP.718770_CWEC2016.epw,,17.1,0.757,"","","","","",0.227,0.21,2.4,0.0,"",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,106.11,44.152477477477476,1.0393160054719561,0.02353924547047489,379.87,0.1,2020-11-17 15:59:55 +0000,92d95f99,0.2.11,88380.76815767222,73.09184176324518,100.57738624593877
